Country,ISO-code,Fertility,Life expectancy,Population growth,Sex-ratio,Suicide rate,Urbanization rate,Median age,Year
Iceland,ISL,1.7,82.9,0.35,1,13.3,93.9,36.5,2020
India,IND,2.2,69.4,1.26,1.08,16.5,34.9,28.1,2020
Indonesia,IDN,2.3,71.5,1.25,1,3.7,56.6,30.2,2020
Iran,IRN,2.9,76.5,1.32,1.03,4,75.9,30.3,2020
Iraq,IRQ,3.7,70.5,2.54,1.01,4.1,70.9,20,2020
Ireland,IRL,1.8,82.1,0.26,1,10.9,63.7,36.8,2020
Isle of Man,IMN,1.6,,0.74,1,,52.9,44.2,2020
Israel,ISR,2.4,82.8,1.81,1.01,5.2,92.6,29.9,2020
Italy,ITA,1.3,83.6,0.32,0.93,5.5,71,45.5,2020
Ivory Coast,CIV,4.6,57.4,2.29,1.01,23,51.7,20.9,2020
Jamaica,JAM,2,74.4,0.21,0.98,2,56.3,26,2020
Japan,JPN,1.4,84.5,-0.2,0.94,14.3,91.8,47.3,2020
Jordan,JOR,2.8,74.4,2.19,1.11,3.7,91.4,22.5,2020
Kazakhstan,KAZ,2.8,73.2,1.43,0.91,22.8,57.7,30.6,2020
Kenya,KEN,3.5,63.3,2.7,1,5.6,28,19.7,2020
Kiribati,KIR,3.6,68.1,1.54,0.94,15.2,55.6,24.6,2020
Kuwait,KWT,2.1,75.4,3.95,1.38,2.2,,29.3,2020
Kyrgyzstan,KGZ,3.3,71.3,1.22,0.96,9.1,36.9,26.5,2020
Laos,LAO,2.7,67.6,1.89,0.99,9.3,36.3,23,2020
Latvia,LVA,1.6,75.2,-1.6,0.86,17.2,68.3,43.6,2020
Lebanon,LBN,2.1,78.9,0.96,1,3.2,88.9,30.5,2020
Lesotho,LSO,3.1,53.7,1.08,0.98,28.9,29,24.2,2020
Liberia,LBR,4.3,63.7,2.68,1,13.4,52.1,17.8,2020
Libya,LBY,2.2,72.7,0.84,1.05,5.5,80.7,28.9,2020
Liechtenstein,LIE,1.6,80.5,0.73,0.99,,14.4,43.2,2020
Lithuania,LTU,1.6,75.7,-1.48,0.86,25.7,68,43.7,2020
Luxembourg,LUX,1.4,82.1,2.49,1.02,10.4,91.5,39.3,2020
Macau,MAC,1.2,,1.9,0.9,,100,39.3,2020
Madagascar,MDG,4.1,66.7,2.8,1,6.9,38.5,19.7,2020
Malawi,MWI,4.2,63.8,2.86,0.98,7.8,17.4,16.5,2020
Malaysia,MYS,2,76.1,1.66,1.03,6.2,77.2,28.5,2020
Maldives,MDV,1.9,,1.93,1.13,2.7,40.7,28.2,2020
Mali,MLI,5.9,58.9,2.99,0.95,8.9,43.9,15.8,2020
Malta,MLT,1.2,82.4,0.4,1.01,6.5,94.7,41.8,2020
Marshall Islands,MHL,4,73.9,0.11,1.03,,77.8,22.9,2020
Mauritania,MRT,4.6,64.7,2.49,0.93,7.5,55.3,20.5,2020
Mauritius,MUS,1.4,74.9,0.42,0.96,7.3,40.8,35.3,2020
Mexico,MEX,2.1,75,1.24,0.96,5.2,80.7,28.3,2020
Micronesia,FSM,3.1,67.8,-0.03,0.97,,,25.1,2020
Moldova,MDA,1.3,71.8,-0.04,0.96,13.4,42.8,36.7,2020
Mongolia,MNG,2.9,69.7,1.52,0.95,13.3,68.7,28.3,2020
Montenegro,MNE,1.7,76.8,0.07,0.97,7.9,67.5,40.7,2020
Morocco,MAR,3.1,76.5,1.43,1,3.1,63.5,29.3,2020
Mozambique,MOZ,4.9,60.2,2.5,0.97,8.4,37.1,17.2,2020
Myanmar,MMR,2.2,66.9,0.85,0.97,8.1,31.1,,2020
Namibia,NAM,3.4,63.4,1.87,0.96,11.5,52,21.2,2020
Nepal,NPL,1.9,70.5,1.16,0.96,9.6,20.6,24.1,2020
Netherlands,NLD,1.6,82.1,0.45,0.98,9.6,92.2,42.6,2020
New Caledonia,NCL,2,,1.6,1,,71.5,32,2020
New Zealand,NZL,1.7,82.1,0.63,1,11.6,86.7,37.9,2020
Nicaragua,NIC,2.4,74.3,1.46,0.95,11.9,59,25.7,2020
Niger,NER,5.3,62,3.84,0.98,9,16.6,15.4,2020
Nigeria,NGA,5.4,54.3,2.79,1.02,17.3,52,18.4,2020
North Korea,PRK,1.9,,0.53,0.95,10.6,62.4,34,2020
North Macedonia,MKD,1.5,75.7,0.08,0.99,6.2,58.5,37.9,2020
Norway,NOR,1.6,82.5,1.32,1.02,10.1,83,39.2,2020
Oman,OMN,2.9,77.6,9.13,1.18,3.5,86.3,25.6,2020
Pakistan,PAK,3.5,67.1,2.69,1.04,3.1,37.2,23.8,2020
Palau,PLW,2.2,73.7,0.72,1.07,,81,33.4,2020
Panama,PAN,2.5,78.3,1.64,1.01,4.4,68.4,29.2,2020
Papua New Guinea,PNG,3.6,64.3,2.17,1.04,7,13.3,23.1,2020
Paraguay,PRY,2.4,74.1,1.72,1,9.3,62.2,28.2,2020
Peru,PER,2.3,76.5,1.25,0.96,5.1,78.3,28,2020
Philippines,PHL,2.6,71.1,1.72,1.01,3.7,47.4,23.5,2020
Poland,POL,1.5,78.5,0.02,0.94,13.4,60,40.7,2020
Portugal,PRT,1.4,81.9,-0.29,0.9,8.6,66.3,42.2,2020
Qatar,QAT,1.9,,7.05,3.39,5.8,99.2,33.2,2020
Republic of the Congo,COG,4.4,64.3,2.61,1.01,9.3,67.8,19.7,2020
Romania,ROU,1.8,75.9,-0.27,0.95,8,56.4,41.1,2020
